,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue,rating
173,"digiRocks
4.5",Data Analyst Junior,Paris,"Envie de regarder les JO du bureau et que ça fasse partie de ton job ?
Rejoins le pôle digital de la régie pub d’un leader de l'information sportive en France (75 p, 11 M VU / mois)
Anne-Sophie recrute un(e) Data Analyst Junior à #Paris (CDI, 39+4k€)
2 ans d'exp • Data analyse et data viz • Excel et PPT

✅ MISSION ::
Rassembler et traiter les données issues du digital (site et app) et en tirer des enseignements pour optimiser le trafic et aider la régie à définir de nouvelles offres commerciales

✅ RÉSULTATS ATTENDUS ::
Résultat 1 : Consolider et analyser les données issues de différentes sources (traitement et création de segments via la DMP, investissements publicitaires via Kantar Media, trafic via ATInternet, audiences via Médiamétrie Internet Global…), et rédiger les rapports d’audience du digital (site et app) à raison de 2 analyses hebdomadaires et une analyse mensuelle
Présenter mensuellement les grandes tendances et les chiffres pertinents au management et aux équipes commerciales et faire ressortir les données clés pour aider à bâtir les argumentaires et discours commerciaux, développer l’offre data de la régie et mesurer le trafic monétisable
Cadrer et prioriser les besoins d’analyse adhoc des experts métiers, bâtir et remplir les dashboards sous Excel, QlikCloud ou encore Power BI (à diffuser à toutes les équipes et à la direction) et, en lien avec la DSI, proposer des outils adaptés aux besoins
Médiamétrie, Qlick Cloud, Piano Analytics, AT Internet, Power BI, PPT, Excel, Trello…


Fan de sport, tu sors de l’école avec une 1e expérience significative en stage/alternance en data analyse idéalement dans l’univers du consulting ou des médias. Structuré(e) et rigoureux(se), tu produis des livrables fiables, qui sont de véritables leviers d’optimisation. Pédagogue, synthétique, tu contribues à l’analyse et l’amélioration des résultats métiers et sais faire ressortir ce que qui est important !
Adepte du test and learn, tu sais aller chercher les infos dans un univers qui foisonne et tu n’as pas peur de la nouveauté. Tu maîtrises sur le bout des doigts Excel et PowerPoint.
Tu rejoins une équipe de 3 personnes sur une création de poste. Tu travailles au quotidien avec la direction et les équipes commerciales, trading et marketing. Ton N+1, Directeur Marketing & Data, a repris le service il y a 3 ans et fonctionne à la confiance. Il t’accompagnera, te formera pour monter en compétences et valorisera ton travail. Tu bénéficies d’1 j de télétravail / semaine, 6 semaines de congés et 14 à 17 j de RTT.

Postule en 2 mn si tu as envie d’apprendre et de progresser très vite",€45K - €65K (Employer est.),1 to 50 Employees,Company - Public,-1,-1,-1,Unknown / Non-Applicable,4.5
174,Visuary,Data Scientist,Paris,"Company Description

VISUARY (visuary.com) is a Paris based start-up aiming to make the construction and personalization of new homes accessible and easier. For this, we are developing a platform that allows buyers to view and personalize their accommodation online and provides insights to the constructors.
We are a team of twelve working fully remote.
You will join a dynamic and international team for a mission where you will have an impact.
We are looking for autonomous and qualified people, wishing to take part in the adventure from its inception, and experience the growth of the company.

Job Description",€45K - €65K (Employer est.),1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable,-1
175,"Breega
4.8",Environmental Data Scientist @Carbon Maps,Paris,"Carbon Maps is the first comprehensive climate management platform for the food industry.
Our food system is a major contributing factor to global greenhouse gas emissions, deforestation and water consumption worldwide.
At Carbon Maps, we are on a mission to help the food industry reduce its environmental footprint, by collecting and analyzing data across all stages of the food chain, from farmers to consumers.
The Carbon Maps’ cloud platform enables agri-food industry players to:
perform rapid, high-precision assessments of the environmental impact of their products, from raw materials to processing to distribution and agricultural raw materials;
gain actionable insights and tools to help them execute and monitor their climate plans.",€45K - €65K (Employer est.),1 to 50 Employees,Company - Private,Financial Services,Investment & Asset Management,2013,Unknown / Non-Applicable,4.8
176,"Pennylane
4.9",Data Analyst (remote),Paris,"Are you looking to have an impact on the daily life of millions of entrepreneurs in France and Europe?
Do you thrive in a trustful, fast-paced environment?
Do you feel like our Engineering principles are aligned with your vision?

Then Pennylane might be the right place for you — and you, might be the perfect fit for this role

Our vision

We aim to become the most beloved financial Operating System of European SMEs.
We help business owners get rid of the time consuming hassle of handling accounting and finance, while giving them access to key information that they can use to make better decisions.

Meanwhile, we’re helping accountants. By using Pennylane, rather than doing manual and repetitive tasks, they can spend more time advising and guiding their clients.",€45K - €65K (Employer est.),201 to 500 Employees,Company - Private,Information Technology,Software Development,2020,Unknown / Non-Applicable,4.9
177,"MBR Partners
5.0",AI/ML Data Scientist (Telecoms),Paris,"Solution Architect
Our client is looking for a highly motivated, passionate and innovative technologist to join their team as a Solution Architect within their Telecoms practice. The successful candidate will be responsible for the end to end architecture and technical delivery of Big Data and analytics solutions delivered to mobile and fixed line telecoms clients, delivered using their best-in-class products
The company
They are a dynamic and exciting company that started up 5 years ago. They have some of the largest names in Telecoms as their clients and they continue to innovate with their products - not only to keep them ahead of their competition but to create industry best and technology direction, as well as thought leadership.
They specialise and are a leader in Big Data, Analytics, and Machine Learning, with award-winning solutions that transform their clients' operations.",€45K - €65K (Employer est.),1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable,5.0
178,"Stellantis
3.6",Data Scientist H/F,Poissy,"Détail de l'offre
Informations générales
Entité de rattachement
Nous rejoindre, c'est intégrer une entreprise d'envergure mondiale. Mû par la recherche permanente de l'innovation et de l'excellence, pionnier et leader des technologies propres et de la mobilité durable, le Groupe entend rester à la pointe des grandes tendances qui font bouger le monde.

Fort de son efficience, de son agilité et de son esprit d'équipe, le Groupe fait preuve d'exigence et d'audace pour définir la mobilité de demain.

Pour réussir ces transformations, l'entreprise a besoin de tous les talents. Rejoignez-nous !",€45K - €65K (Employer est.),10000+ Employees,Company - Private,Manufacturing,Transportation Equipment Manufacturing,2021,$10+ billion (USD),3.6
179,"INRAE - Institut national de recherche pour l’agriculture, l’alimentation et l’environnement",Data Scientist (H/F),Jouy-en-Josas,"À propos de nous
Notre société est professionnelle et agile.
Points clés de notre environnement de travail :
Bureaux modernes
Repas fourni
Programmes de bien-être
Opportunités d'évolution
Context",€45K - €65K (Employer est.),-1,-1,-1,-1,-1,-1,-1
180,"Publicis Sapient
3.7",Data Scientist - Senior Manager (H/F),Paris,"Company Description

As a digital business transformation partner, we’ve spent nearly three decades utilizing the disruptive power of technology and ingenuity to help digitally enable our clients' business in their pursuit of next. Always through radical customer centricity and an outside-in mindset. We’ve built a history of digital firsts…
we helped a bank launch the world’s first Internet Banking Offering
enabled an Airline to become the first to allow online check-in and seat selection
launched the first online share Trading Platform
created the first secure transaction for money online
We bring a startup mindset and agile methods to both established companies and the public sector to unlock value in ways that delight their customers and improve their operational effectiveness. Our approach to transformation is built from outside-in, challenging conventions and uniquely fusing of strategy and consulting, experience, data science and engineering with an enduring culture of creative problem-solving.",€45K - €55K (Employer est.),10000+ Employees,Company - Public,Management & Consulting,Business Consulting,1990,Unknown / Non-Applicable,3.7
181,"TotalEnergies
3.9",Data Scientist IA débutant F/H - Prédiction des ressources en métaux dans les eaux souterraines par Intelligence Artificielle,Pau,"Systèmes d'Information, Recherche Innovation&Développt
PAU-CSTJF(FRA)
France
Description du poste
Vous êtes jeune diplômé(e) ?
Débutez votre carrière par une expérience stimulante au cœur d’équipes internationales, engagées dans la transition énergétique !
Nous recherchons pour une durée de 12 mois au CSTJF à PAU (64), un Data Scientist débutant H/F, pour travailler sur la Prédiction des ressources en métaux dans les eaux souterraines par Intelligence Artificielle.
Nous vous proposons un Contrat de Professionnalisation Temps Plein qualifiant de 12 mois (100% en entreprise) incluant 15% de formation interne (métier, linguistique, outils…) dispensée par des organismes sélectionnés par TotalEnergies.
Ce contrat vous permettra d’acquérir une année d’expérience professionnelle tout en étant formé aux spécificités de votre métier en lien avec les activités de la Compagnie. Un réel atout pour booster votre employabilité !

Pour en savoir plus : https://www.cstjf-pau.total/fr",€45K - €55K (Employer est.),10000+ Employees,Company - Public,"Energy, Mining & Utilities",Energy & Utilities,1924,$25 to $100 million (USD),3.9
182,"Damart
3.8",Data analyst junior - H/F,Roubaix,"Né en 1953 d'une innovation - l'iconique Thermolactyl - Damart, est une grande marque patrimoniale française, l'une des rares à être entrée dans le langage commun: ""il fait froid, mets ton Damart!"". Notre leadership sur le marché des séniors, en plein essor, est fondé sur une double expertise: le textile intelligent, source de bien-être pour toute les générations et le prêt-à-porter, dédié aux femmes de 55 ans et plus qui recherchent le style et le confort.
Pour séduire les nouvelles générations et conquérir nos clients de demain, nos 1000 collaborateurs en France réinventent chaque jour Damart et accélèrent sa transformation: innovation textile, nouveau style et nouvelle image, transition digitale pour une shopping expérience omnicanale, conquête de nouveaux marchés à l'international ...
Implantée en France, Belgique, Angleterre et Suisse, Damart poursuit aujourd'hui son développement à l'international: Après le Japon et les USA, la marque s'implante en Espagne, Italie, Australie, Liban, Chypre...",€45K - €55K (Employer est.),501 to 1000 Employees,Unknown,Manufacturing,Consumer Product Manufacturing,-1,$100 to $500 million (USD),3.8
